x	sift-kmeans-1000-02-canny-tfidf-segments	sift-kmeans-2000-02-slic-lsi-segments	sift-kmeans-2000-02-slic-tfidf-segments	surf-kmeans-2000-02-otsu-tfidf-segments	sift-kmeans-1000-02-none-bow-images	surf-kmeans-1000-02-otsu-tfidf-segments	surf-kmeans-1000-02-otsu-lsi-segments	surf-kmeans-2000-02-canny-tfidf-segments	sift-kmeans-1000-02-canny-lsi-segments	surf-kmeans-1000-02-canny-lsi-segments	surf-kmeans-1000-02-slic-lsi-segments	sift-kmeans-2000-02-none-bow-images	surf-kmeans-2000-02-canny-lsi-segments	sift-kmeans-2000-02-otsu-lsi-segments	sift-kmeans-2000-02-canny-tfidf-segments	surf-som-2000-02-slic-lsi-segments	surf-kmeans-2000-02-none-bow-images	surf-som-1000-02-slic-lsi-segments	sift-kmeans-1000-02-otsu-tfidf-segments	surf-kmeans-1000-02-slic-tfidf-segments	sift-som-1000-02-slic-lsi-segments	sift-kmeans-2000-02-otsu-tfidf-segments	sift-kmeans-2000-02-canny-lsi-segments	sift-kmeans-1000-02-slic-lsi-segments	surf-kmeans-2000-02-otsu-lsi-segments	sift-som-2000-02-slic-lsi-segments	surf-kmeans-2000-02-slic-tfidf-segments	surf-kmeans-1000-02-canny-tfidf-segments	sift-kmeans-1000-02-otsu-lsi-segments	sift-kmeans-1000-02-slic-tfidf-segments	surf-kmeans-1000-02-none-bow-images	surf-kmeans-2000-02-slic-lsi-segments
ukbench00002.jpg	2	2	2	1	3	1	1	1	3	2	0	3	1	3	2	1	3	0	2	0	0	2	2	2	1	0	2	2	2	2	3	2
ukbench00007.jpg	3	3	3	2	3	2	2	2	3	1	0	3	1	3	3	0	3	0	3	0	3	3	3	2	2	2	2	2	3	3	3	2
ukbench00009.jpg	2	0	0	2	1	1	1	0	2	0	1	1	0	0	0	0	3	0	0	1	0	1	0	0	2	0	1	0	0	1	2	1
ukbench00013.jpg	0	0	0	0	3	1	1	0	0	0	1	3	0	1	2	0	2	0	1	1	0	1	2	0	0	0	0	0	1	0	2	0
ukbench00016.jpg	1	1	1	1	2	0	0	1	1	1	0	3	1	1	1	1	2	0	2	0	0	1	1	0	1	0	0	0	1	0	2	0
ukbench00020.jpg	0	1	1	0	2	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0
ukbench00025.jpg	3	1	1	2	3	1	2	3	3	2	2	3	3	3	2	0	3	2	3	2	1	3	2	2	2	2	2	3	3	3	3	2
ukbench00031.jpg	2	2	2	3	3	2	1	3	2	2	1	3	2	2	3	2	3	2	0	2	1	2	3	2	3	0	2	2	1	2	3	2
ukbench00032.jpg	2	2	2	0	3	0	0	2	2	0	0	3	2	1	2	0	3	0	2	0	0	0	3	2	1	2	0	0	2	2	2	0
ukbench00037.jpg	1	0	0	0	3	0	0	0	1	0	1	3	0	1	1	0	3	1	1	1	0	1	1	0	0	0	0	0	1	0	2	0
ukbench00042.jpg	2	2	2	1	3	1	1	0	1	0	0	3	0	1	2	0	3	0	0	1	0	1	2	1	2	1	2	0	0	1	3	2
ukbench00046.jpg	3	2	1	3	3	1	2	1	2	0	2	3	1	3	2	0	3	0	3	2	2	3	2	0	3	0	2	0	3	0	3	1
ukbench00049.jpg	2	2	2	0	3	1	1	0	2	2	3	3	0	3	2	0	3	2	2	2	1	3	2	3	0	2	2	2	2	3	3	2
ukbench00053.jpg	0	2	2	2	3	2	1	0	0	0	2	3	0	1	0	0	3	0	0	3	2	0	0	2	2	0	1	0	0	2	3	1
ukbench00058.jpg	2	0	1	0	3	0	0	2	2	2	1	3	2	0	2	1	3	0	0	2	1	0	2	1	0	1	2	2	0	1	3	2
ukbench00061.jpg	1	1	1	2	3	1	1	3	1	2	1	3	3	2	2	0	3	1	3	1	0	2	2	0	2	0	3	3	3	0	3	3
ukbench00066.jpg	1	1	1	1	3	1	1	1	1	1	1	3	1	1	2	0	3	1	1	1	0	1	2	1	1	0	0	1	1	1	3	0
ukbench00071.jpg	0	2	2	0	3	0	0	0	0	1	1	3	0	0	1	0	3	0	0	1	1	0	1	2	0	1	0	1	0	2	3	0
ukbench00075.jpg	1	0	0	1	2	2	2	0	2	0	0	3	0	0	2	0	3	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1
ukbench00076.jpg	3	2	3	3	3	2	3	3	3	2	3	3	3	3	3	0	3	0	3	3	1	3	3	2	3	3	3	2	3	2	3	3
ukbench00081.jpg	2	0	0	0	2	0	0	0	2	1	1	2	0	1	2	0	2	2	1	1	0	1	2	1	0	0	0	1	1	1	2	1
ukbench00084.jpg	3	1	1	2	3	3	3	3	3	3	2	3	3	3	3	2	3	1	3	2	0	3	3	1	3	0	2	3	3	1	3	3
ukbench00091.jpg	2	3	3	0	3	0	0	3	2	3	0	3	3	0	2	0	3	0	0	0	1	0	2	1	0	1	0	3	0	1	3	0
ukbench00092.jpg	3	2	2	3	3	2	2	2	2	1	2	3	2	0	3	1	3	0	0	2	0	0	3	2	3	1	2	2	0	2	3	2
ukbench00099.jpg	2	0	0	3	3	1	2	3	1	1	0	3	3	2	2	0	3	1	2	0	0	3	2	2	2	0	0	1	2	2	3	0
ukbench00102.jpg	1	2	2	1	3	1	1	1	1	1	0	3	1	2	2	0	3	0	0	0	0	2	1	2	1	2	1	0	0	2	2	0
ukbench00106.jpg	0	2	2	2	3	2	2	3	0	2	2	3	3	2	1	0	3	0	1	2	0	2	1	1	2	0	2	2	1	2	3	2
ukbench00108.jpg	2	1	1	2	3	2	3	1	2	1	1	3	1	2	2	1	3	0	3	2	0	2	2	0	2	1	2	1	2	0	3	2
ukbench00112.jpg	1	1	2	0	2	1	1	0	1	1	0	2	1	1	1	1	2	0	1	0	1	2	1	2	0	1	0	1	1	2	3	0
ukbench00118.jpg	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ukbench00121.jpg	2	3	3	2	3	2	2	2	2	2	1	3	2	3	2	0	3	0	3	0	0	3	2	2	2	1	3	2	3	2	3	2
ukbench00125.jpg	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	0	3	1	3	3	3	3	3	2	3	2	3	3	3	2	3	3
ukbench00131.jpg	3	1	1	1	3	1	2	2	3	1	1	3	2	2	2	1	3	0	3	0	0	2	1	1	1	1	2	1	3	1	3	1
ukbench00135.jpg	1	0	0	0	2	0	0	1	1	1	1	3	0	0	1	0	3	1	0	1	0	0	1	0	0	0	2	1	0	0	3	2
ukbench00138.jpg	0	0	0	1	3	1	1	1	1	1	0	3	1	0	0	1	2	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0
ukbench00140.jpg	0	1	2	1	2	0	0	0	0	0	1	2	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0
ukbench00147.jpg	2	1	1	0	3	1	2	0	2	0	0	3	0	1	2	2	1	1	0	0	0	1	2	1	0	1	1	0	1	1	1	1
ukbench00148.jpg	1	1	1	1	3	1	1	0	2	1	0	3	0	2	2	1	3	0	1	0	0	2	2	0	1	1	2	1	1	0	3	1
ukbench00154.jpg	0	0	0	1	2	2	2	1	0	0	2	2	1	3	0	1	3	2	3	3	0	3	0	0	1	1	2	0	3	1	3	2
ukbench00158.jpg	3	1	1	1	3	1	1	2	2	1	2	3	2	1	2	0	3	0	1	1	1	1	2	0	0	0	1	1	0	0	3	2
ukbench00163.jpg	0	0	0	0	3	0	0	2	0	2	1	3	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0
ukbench00166.jpg	0	1	1	1	2	0	0	0	0	0	1	3	0	1	0	0	2	0	1	1	1	1	0	0	1	1	0	0	1	0	2	0
ukbench00170.jpg	1	0	0	2	3	2	1	2	2	0	1	3	2	3	1	0	3	0	2	1	0	3	2	0	2	0	2	1	1	0	2	2
ukbench00173.jpg	0	1	1	1	2	1	1	2	0	2	0	2	2	0	1	0	2	0	0	0	0	0	1	0	1	0	0	2	0	0	2	1
